Video_ID,Duration
101,1081
102,628
103,999
104,1202
105,643
201,879
202,964
203,709
204,1418
205,1039
301,1639
302,801
303,1044
304,1691
305,1250
401,1152
402,816
403,447
404,1334
405,811
501,753
502,1422
503,877
504,2042
